id,name,type,type_damage,pp,power,description,name_corrected
36,take down,Normal, Physical,20,90,A reckless full-body charge attack for slamming into the target. This also damages the user a little.,take-down
37,thrash,Normal, Physical,10,120,The user rampages and attacks for two to three turns. The user then becomes confused.,thrash
38,double-edge,Normal, Physical,15,120,A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot.,double-edge
39,tail whip,Normal, Status,30,0,The user wags its tail cutely  making opposing Pokémon less wary. This lowers their Defense stats.,tail-whip
40,poison sting,Poison, Physical,35,15,The user stabs the target with a poisonous stinger to inflict damage. This may also poison the target.,poison-sting
41,twineedle,Bug, Physical,20,25,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,twineedle
42,pin missile,Bug, Physical,20,25,The user attacks by shooting sharp spikes at the target. This move hits two to five times in a row.,pin-missile
43,leer,Normal, Status,30,0,The user gives opposing Pokémon an intimidating leer that lowers their Defense stats.,leer
44,bite,Dark, Physical,25,60,The target is bitten with viciously sharp fangs. This may also make the target flinch.,bite
45,growl,Normal, Status,40,0,The user growls in an endearing way  making opposing Pokémon less wary. This lowers their Attack stats.,growl
46,roar,Normal, Status,20,0,The target is scared off  and a different Pokémon is dragged out. In the wild  this ends a battle against a single Pokémon.,roar
47,sing,Normal, Status,15,0,A soothing lullaby is sung in a beautiful voice that puts the target to sleep.,sing
48,supersonic,Normal, Status,20,0,The user generates odd sound waves from its body that confuse the target.,supersonic
49,sonic boom,Normal, Special,20,0,This move can’t be used.It’s recommended that this move is forgotten.Once forgotten  this move can’t be remembered.,sonic-boom
50,disable,Normal, Status,20,0,For four turns  the target will be unable to use whichever move it last used.,disable
51,acid,Poison, Special,30,40,Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.,acid
52,ember,Fire, Special,25,40,The target is attacked with small flames. This may also leave the target with a burn.,ember
53,flamethrower,Fire, Special,15,90,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,flamethrower
54,mist,Ice, Status,30,0,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.,mist
55,water gun,Water, Special,25,40,The target is blasted with a forceful shot of water.,water-gun
56,hydro pump,Water, Special,5,110,The target is blasted by a huge volume of water launched under great pressure.,hydro-pump
57,surf,Water, Special,15,90,The user attacks everything around it by swamping its surroundings with a giant wave.,surf
58,ice beam,Ice, Special,10,90,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,ice-beam
